"date","temp","spcond","sal","do_pct","do_mgl","depth","ph","turb","chlfluor"
"2016-01-01",24.8635416666667,33.3905208333333,20.915625,75.390625,5.54895833333333,1.41822916666667,7.63020833333333,12.84375,NA
"2016-01-02",22.3802083333333,33.6910416666667,21.1625,78.1333333333333,6.01041666666667,1.5515625,7.703125,11.375,NA
"2016-01-03",19.359375,33.7848958333333,21.2677083333333,76.6552083333333,6.228125,1.59427083333333,7.709375,5.72916666666667,NA
"2016-01-04",17.6614583333333,33.1654166666667,20.8458333333333,78.9729166666667,6.63645833333333,1.56322916666667,7.70104166666667,5.55208333333333,NA
"2016-01-05",15.009375,38.0929166666667,24.2697916666667,92.4385416666667,8.03645833333333,1.85947916666667,7.85208333333333,9.57291666666667,NA
"2016-01-06",15.0083333333333,38.3832291666667,24.471875,93.4927083333333,8.11354166666667,1.88479166666667,7.73125,6.16666666666667,NA
"2016-01-07",15.5770833333333,37.5425,23.8958333333333,91.1479166666667,7.84479166666667,1.8190625,7.58645833333333,4.90625,NA
"2016-01-08",16.2302083333333,36.6211458333333,23.2645833333333,84.3666666666667,7.196875,1.75302083333333,7.48125,4.55208333333333,NA
"2016-01-09",17.0802083333333,36.4796875,23.1697916666667,82.3708333333333,6.90416666666667,1.7384375,7.42083333333333,5.32291666666667,NA
"2016-01-10",17.6708333333333,33.0701041666667,20.7916666666667,79.478125,6.68541666666667,1.64833333333333,7.32291666666667,4.54166666666667,NA
"2016-01-11",15.8354166666667,31.535625,19.7177083333333,81.146875,7.13958333333333,1.5978125,7.37083333333333,4.88541666666667,NA
"2016-01-12",13.73125,31.8638541666667,19.9291666666667,86.2666666666667,7.9,1.6371875,7.48333333333333,4.41666666666667,NA
"2016-01-13",12.8052083333333,31.2428125,19.4854166666667,88.0541666666667,8.25208333333333,1.5690625,7.51875,4.11458333333333,NA
"2016-01-14",12.4010416666667,31.3454166666667,19.5489583333333,92.3552083333333,8.72083333333333,1.5509375,7.584375,4.0625,NA
"2016-01-15",13.8614583333333,29.9864583333333,18.6427083333333,94.9958333333333,8.75,1.4328125,7.61666666666667,5.30208333333333,NA
"2016-01-16",15.3614583333333,26.0260416666667,15.9708333333333,93.6083333333333,8.490625,1.33520833333333,7.56875,5.8125,NA
"2016-01-17",16.6895833333333,25.283125,15.4885416666667,97.2520833333333,8.61666666666667,1.3559375,7.66875,7.73958333333333,NA
"2016-01-18",15.1322916666667,26.5513541666667,16.34375,97,8.821875,1.55760416666667,7.746875,7.63541666666667,NA
"2016-01-19",13.7708333333333,26.099375,16.0208333333333,93.540625,8.77395833333333,1.54322916666667,7.8125,6.92708333333333,NA
"2016-01-20",12.5895833333333,28.2929166666667,17.4822916666667,93.3083333333333,8.890625,1.56375,7.89375,6.17708333333333,NA
"2016-01-21",12.803125,28.6055208333333,17.6979166666667,92.05625,8.725,1.49145833333333,7.88333333333333,5.94791666666667,NA
"2016-01-22",14.1177083333333,27.2091666666667,16.7854166666667,89.7885416666667,8.32395833333333,1.36510416666667,7.82604166666667,6.55208333333333,NA
"2016-01-23",11.625,20.8317708333333,12.5260416666667,86.5135416666667,8.71145833333333,1.2565625,7.78958333333333,8.58333333333333,NA
"2016-01-24",8.73645833333333,25.4819791666667,15.5208333333333,89.0135416666667,9.37083333333333,1.46,7.90416666666667,5.15625,NA
"2016-01-25",9.615625,29.2846875,18.0822916666667,94.7510416666667,9.61041666666667,1.57479166666667,7.94791666666667,4,NA
"2016-01-26",11.7729166666667,30.4516666666667,18.9354166666667,96.7166666666667,9.29479166666667,1.6303125,7.90416666666667,4.54166666666667,NA
"2016-01-27",13.6541666666667,29.7670833333333,18.5229166666667,90.48125,8.378125,1.60979166666667,7.78854166666667,4.89583333333333,NA
"2016-01-28",14.6114583333333,28.1259375,17.4375,81.175,7.41875,1.6334375,7.63645833333333,5.48958333333333,NA
"2016-01-29",14.575,25.9855208333333,16.0041666666667,81.184375,7.49270833333333,1.62541666666667,7.58020833333333,5.48958333333333,NA
"2016-01-30",14.7239583333333,24.7508333333333,15.1385416666667,83.8145833333333,7.74166666666667,1.51625,7.60208333333333,6.39583333333333,NA
"2016-01-31",15.5979166666667,26.7396875,16.4645833333333,86.7802083333333,7.81979166666667,1.5028125,7.68645833333333,6.94791666666667,NA
"2016-02-01",16.4416666666667,27.1720833333333,16.746875,88.2447916666667,7.790625,1.48416666666667,7.67708333333333,6.70833333333333,NA
"2016-02-02",18.5072916666667,24.8780208333333,15.20625,87.6833333333333,7.51145833333333,1.43833333333333,7.534375,6.54166666666667,NA
"2016-02-03",20.7322916666667,21.490625,12.9572916666667,82.6416666666667,6.87395833333333,1.418125,7.50104166666667,6.97916666666667,NA
"2016-02-04",21.4010416666667,19.0154166666667,11.3375,73.7239583333333,6.11666666666667,1.35041666666667,7.43333333333333,8.33333333333333,NA
"2016-02-05",18.1072916666667,10.914375,6.246875,74.5854166666667,6.81979166666667,1.48177083333333,7.38854166666667,10.6458333333333,NA
"2016-02-06",15.3010416666667,12.7678125,7.5125,82.934375,7.93645833333333,1.65229166666667,7.53020833333333,10.4375,NA
"2016-02-07",13.75625,19.870625,12.0854166666667,84.5625,8.11875,1.72864583333333,7.57916666666667,7.91666666666667,NA
"2016-02-08",12.759375,19.543125,11.8645833333333,82.284375,8.06979166666667,1.65541666666667,7.46666666666667,5.92708333333333,NA
"2016-02-09",12.2802083333333,15.045625,8.90833333333333,83.2729166666667,8.43020833333333,1.4928125,7.40833333333333,6.14583333333333,NA
